,Albania,SES_forecast_Albania,HLT_forecast1_Albania,HLT_forecast2_Albania,HWES_forecast_Albania,Andorra,SES_forecast_Andorra,HLT_forecast1_Andorra,HLT_forecast2_Andorra,HWES_forecast_Andorra,Austria,SES_forecast_Austria,HLT_forecast1_Austria,HLT_forecast2_Austria,HWES_forecast_Austria,Belgium,SES_forecast_Belgium,HLT_forecast1_Belgium,HLT_forecast2_Belgium,HWES_forecast_Belgium,Bosnia and Herzegovina,SES_forecast_Bosnia and Herzegovina,HLT_forecast1_Bosnia and Herzegovina,HLT_forecast2_Bosnia and Herzegovina,HWES_forecast_Bosnia and Herzegovina,Bulgaria,SES_forecast_Bulgaria,HLT_forecast1_Bulgaria,HLT_forecast2_Bulgaria,HWES_forecast_Bulgaria,Croatia,SES_forecast_Croatia,HLT_forecast1_Croatia,HLT_forecast2_Croatia,HWES_forecast_Croatia,Czechia,SES_forecast_Czechia,HLT_forecast1_Czechia,HLT_forecast2_Czechia,HWES_forecast_Czechia,Estonia,SES_forecast_Estonia,HLT_forecast1_Estonia,HLT_forecast2_Estonia,HWES_forecast_Estonia,Finland,SES_forecast_Finland,HLT_forecast1_Finland,HLT_forecast2_Finland,HWES_forecast_Finland,Germany,SES_forecast_Germany,HLT_forecast1_Germany,HLT_forecast2_Germany,HWES_forecast_Germany,Greece,SES_forecast_Greece,HLT_forecast1_Greece,HLT_forecast2_Greece,HWES_forecast_Greece,Hungary,SES_forecast_Hungary,HLT_forecast1_Hungary,HLT_forecast2_Hungary,HWES_forecast_Hungary,Iceland,SES_forecast_Iceland,HLT_forecast1_Iceland,HLT_forecast2_Iceland,HWES_forecast_Iceland,Ireland,SES_forecast_Ireland,HLT_forecast1_Ireland,HLT_forecast2_Ireland,HWES_forecast_Ireland,Italy,SES_forecast_Italy,HLT_forecast1_Italy,HLT_forecast2_Italy,HWES_forecast_Italy,Kosovo,SES_forecast_Kosovo,HLT_forecast1_Kosovo,HLT_forecast2_Kosovo,HWES_forecast_Kosovo,Latvia,SES_forecast_Latvia,HLT_forecast1_Latvia,HLT_forecast2_Latvia,HWES_forecast_Latvia,Liechtenstein,SES_forecast_Liechtenstein,HLT_forecast1_Liechtenstein,HLT_forecast2_Liechtenstein,HWES_forecast_Liechtenstein,Lithuania,SES_forecast_Lithuania,HLT_forecast1_Lithuania,HLT_forecast2_Lithuania,HWES_forecast_Lithuania,Luxembourg,SES_forecast_Luxembourg,HLT_forecast1_Luxembourg,HLT_forecast2_Luxembourg,HWES_forecast_Luxembourg,Malta,SES_forecast_Malta,HLT_forecast1_Malta,HLT_forecast2_Malta,HWES_forecast_Malta,Moldova,SES_forecast_Moldova,HLT_forecast1_Moldova,HLT_forecast2_Moldova,HWES_forecast_Moldova,Monaco,SES_forecast_Monaco,HLT_forecast1_Monaco,HLT_forecast2_Monaco,HWES_forecast_Monaco,Montenegro,SES_forecast_Montenegro,HLT_forecast1_Montenegro,HLT_forecast2_Montenegro,HWES_forecast_Montenegro,North Macedonia,SES_forecast_North Macedonia,HLT_forecast1_North Macedonia,HLT_forecast2_North Macedonia,HWES_forecast_North Macedonia,Norway,SES_forecast_Norway,HLT_forecast1_Norway,HLT_forecast2_Norway,HWES_forecast_Norway,Poland,SES_forecast_Poland,HLT_forecast1_Poland,HLT_forecast2_Poland,HWES_forecast_Poland,Portugal,SES_forecast_Portugal,HLT_forecast1_Portugal,HLT_forecast2_Portugal,HWES_forecast_Portugal,Romania,SES_forecast_Romania,HLT_forecast1_Romania,HLT_forecast2_Romania,HWES_forecast_Romania,Russia,SES_forecast_Russia,HLT_forecast1_Russia,HLT_forecast2_Russia,HWES_forecast_Russia,San Marino,SES_forecast_San Marino,HLT_forecast1_San Marino,HLT_forecast2_San Marino,HWES_forecast_San Marino,Serbia,SES_forecast_Serbia,HLT_forecast1_Serbia,HLT_forecast2_Serbia,HWES_forecast_Serbia,Slovakia,SES_forecast_Slovakia,HLT_forecast1_Slovakia,HLT_forecast2_Slovakia,HWES_forecast_Slovakia,Slovenia,SES_forecast_Slovenia,HLT_forecast1_Slovenia,HLT_forecast2_Slovenia,HWES_forecast_Slovenia,Spain,SES_forecast_Spain,HLT_forecast1_Spain,HLT_forecast2_Spain,HWES_forecast_Spain,Sweden,SES_forecast_Sweden,HLT_forecast1_Sweden,HLT_forecast2_Sweden,HWES_forecast_Sweden,Switzerland,SES_forecast_Switzerland,HLT_forecast1_Switzerland,HLT_forecast2_Switzerland,HWES_forecast_Switzerland,Ukraine,SES_forecast_Ukraine,HLT_forecast1_Ukraine,HLT_forecast2_Ukraine,HWES_forecast_Ukraine,Denmark,SES_forecast_Denmark,HLT_forecast1_Denmark,HLT_forecast2_Denmark,HWES_forecast_Denmark,France,SES_forecast_France,HLT_forecast1_France,HLT_forecast2_France,HWES_forecast_France,Netherlands,SES_forecast_Netherlands,HLT_forecast1_Netherlands,HLT_forecast2_Netherlands,HWES_forecast_Netherlands,United Kingdom,SES_forecast_United Kingdom,HLT_forecast1_United Kingdom,HLT_forecast2_United Kingdom,HWES_forecast_United Kingdom
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0361037163113322,2.0245048097602645,2.0000252193132684,99.0,75.99999956786633,103.92643543714864,95.86760000665546,90.63361853252755,240.0,200.99999953803803,270.31432556878644,232.0000013113022,232.17072411449539,4.0,4.0,4.650103286588286,4.625154111285537,5.0000173862469435,5.0,1.02,6.234095858191833,1.934816290786993,1.9351880896718692,13.0,13.0,14.043897175815115,13.779401882060272,13.863661371200466,32.0,31.99999982116406,43.06829947943595,36.23741702980844,33.197880935223125,11.0,11.0,12.806027531834873,11.712103250249987,11.095253243035703,45.0,35.99999989079267,42.92935374342217,41.436913769598405,41.46393871067625,1140.0,902.4610700385182,1132.6177846518115,1010.350747728562,1009.4500392625847,74.0,73.99999959766865,105.2119354419512,85.67261860443917,85.39760982330225,10.0,7.999999955294462,10.401456440782992,10.042700639216937,9.979679306006393,59.0,50.99999999999999,59.10279793903455,52.771238822557564,52.63321657963559,22.0,19.999999985098516,25.673778122655293,24.71214099115284,23.915999609301842,9173.0,7375.9999777674675,9268.056551205724,8866.568204043371,8886.526615712963,1.0,1.0,1.0,1.0,1.0,7.0,2.999999985098839,2.924071922960681,2.910675589410054,2.999494794075787,2.0,2.0,2.0405582945128735,2.0245051670525287,2.0000251793543184,1.0,1.0,1.0,1.0,1.0,4.0,3.999999985098839,4.299151536427333,4.205355704200977,4.000004295399787,4.0,3.999999999999999,6.399998662126773,4.934497650507907,4.424109323653729,2.0,1.005,1.9774594394302214,1.2316406555378596,1.2601079213815245,2.0,2.0,2.032540524403495,2.0245043688975963,2.0000252592140333,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.282741498762446,4.075199255862577,4.052144592662079,206.0,176.99999956786633,227.12012161282047,209.26831094610864,209.69860556778497,17.0,11.999999910593033,19.52888469049309,14.197312866040868,12.13581519599929,31.0,30.999999850988388,46.9694596875052,40.74826436433783,40.16184673492746,16.0,15.999999910582627,16.38650746352867,18.185907780951936,16.06904316186205,18.0,17.999999940385393,22.211975655020822,21.6331453626032,18.543768208451702,38.0,27.999999954917726,33.684272111987745,32.1521920764667,32.33475270792356,2.0,2.0,2.0461136435843295,2.0244808618121217,2.0000251398548956,6.0,3.9999999701976776,5.694475391287091,4.737665700749783,4.062683616623014,17.0,16.99999986588955,31.54937903966104,20.449612331245582,17.301522701822694,1074.0,673.1324823516961,903.7223804776133,820.4588296996667,787.9046057511846,327.0,225.99999931454659,296.8478998767925,268.93952117689946,257.65843198916514,375.0,337.9999989718199,492.06651609405645,407.47056470510944,385.6105123968888,2.0,2.0,2.0381996451513342,2.024505009284653,2.04770008615976,91.0,35.999999821137926,50.05054947511631,41.341432555122196,35.782838420605025,1402.0,1115.9999973624945,1651.6231682758262,1338.0419569771002,1341.0825857633715,383.0,321.999999165535,427.08669450482813,378.0000011920929,378.34146672135375,631.0,483.728615094196,546.6140513603332,539.3051580359868,538.6722457039004
2020-03-10,11.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0714407034951896,2.0483575378507837,2.0475981131690353,127.0,75.99999956786633,149.56373885055717,118.90219566347773,112.6014904170769,268.0,200.99999953803803,363.53151466522314,263.00000219047075,263.17072498603187,6.0,4.0,5.294777961186456,5.125231144084289,5.000007908273434,5.0,1.02,10.098280268471678,2.0876574214644883,2.2779612342420728,15.0,13.0,15.171619049912998,14.30126383576119,14.29399508978124,42.0,31.99999982116406,59.205580843476675,43.07354790917746,40.797092295061624,13.0,11.0,14.57910253931829,12.424206488765432,11.476195438678502,62.0,35.99999989079267,52.850966009230824,47.78905163284922,47.79891388889488,1297.0,902.4610700385182,1420.6235261238755,1117.447826170338,1116.4500395225036,90.0,73.99999959766865,152.2642476266951,101.82263793483135,101.80540324013369,10.0,7.999999955294462,14.781379875052867,12.085401306541439,12.054315689367698,70.0,50.99999999999999,68.49295521475356,53.87514353144744,53.74006551739687,35.0,19.999999985098516,31.360566194329664,28.063341669237616,27.352816700793873,10150.0,7375.9999777674675,11657.967612925073,10358.396190204818,10371.388211145477,1.0,1.0,1.0,1.0,1.0,9.0,2.999999985098839,3.1723527138057706,3.077636945700685,3.2099918182855247,2.0,2.0,2.0801294748987766,2.048358119577353,2.0475980780975838,1.0,1.0,1.0,1.0,1.0,6.0,3.999999985098839,4.8342255024444425,4.573293831331135,4.546964420348004,6.0,3.999999999999999,10.239996969803181,5.868995360008611,4.697237738241415,4.0,1.005,2.283889947090161,1.2692727830294515,1.3476428113700891,2.0,2.0,2.064468142955871,2.048356809478665,2.047598149032519,1.0,1.0,1.0,1.0,1.0,8.0,4.0,4.541957236885524,4.146807930840118,4.147504377530475,401.0,176.99999956786633,291.4324835331384,241.0165920005129,241.24911850534534,23.0,11.999999910593033,32.98423934016666,17.7068210504013,16.491951759280838,42.0,30.999999850988388,70.821091815951,50.607329372333076,49.89077954271399,26.0,15.999999910582627,20.02841004122893,21.600474597470292,19.779267087291494,21.0,17.999999940385393,27.55811131657203,25.342940531017575,22.413259817099945,50.0,27.999999954917726,40.237878800299605,35.50304284775606,35.49663616081169,6.0,2.0,2.0910545915625494,2.0483315153590067,2.0475980433537075,8.0,3.9999999701976776,8.964926126089113,5.917129421737194,5.329989023323376,32.0,16.99999986588955,59.304638217577605,25.75365165070787,23.075717872925832,1696.0,673.1324823516961,1208.5041019987896,976.5263250753151,946.7228735067602,425.0,225.99999931454659,389.9056442507867,312.28273325787416,305.06090489867427,492.0,337.9999989718199,684.6273184906437,476.4214692178125,460.04180251058614,2.0,2.0,2.075532786122296,2.0483578594398044,2.047669343843531,263.0,35.999999821137926,69.2193806441302,48.92498281451491,46.8468504819403,1774.0,1115.9999973624945,2305.6656680152873,1549.32440353238,1551.4029969112735,504.0,321.999999165535,566.4690818726256,434.0000020712614,434.3414675748456,889.0,483.728615094196,615.1209640362918,593.5884940417832,593.0977621685926
2020-03-11,13.0,1.0,1.0,1.0000000000000002,1.0000000000000002,2.0,2.0,2.107390971158439,2.072210265941303,2.0476233317734125,149.0,75.99999956786633,215.24178987631979,141.93679132029996,131.22979639787408,315.0,200.99999953803803,488.89440793311576,294.0000030696393,294.3414486709376,8.0,4.0,6.0288281636932055,5.62530817688304,6.000028454140658,8.0,1.02,16.357667045912546,2.2404985521419833,2.290956865723161,20.0,13.0,16.389896744051274,14.82312578946211,14.936939408769948,92.0,31.99999982116406,81.38934774258146,49.909678788546465,44.75507307545287,17.0,11.0,16.59767092672355,13.136309727280876,11.571448675929945,116.0,35.99999989079267,65.06561046325704,54.14118949610004,54.182909948581155,1568.0,902.4610700385182,1781.8643061454825,1224.544904612114,1222.9000780467363,100.0,73.99999959766865,220.35904014060367,117.97265726522353,117.58150749573547,14.0,7.999999955294462,21.005634379618737,14.128101973865938,14.033995022543333,86.0,50.99999999999999,79.37500554355094,54.97904824033733,54.712098852160835,44.0,19.999999985098516,38.30698806114074,31.41454234732239,30.112493396110864,12463.0,7375.9999777674675,14664.154034140958,11850.224176366268,11884.813175085432,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,11.0,2.999999985098839,3.441714843525811,3.2445983019913163,3.2946030727420355,4.0,2.0,2.1204680326839647,2.0722110721021765,2.0476232567430106,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,8.0,3.999999985098839,5.435894969151255,4.941231958461294,4.644550345233654,7.0,3.999999999999999,16.383993728325766,6.803493069509316,5.121243651004348,4.0,1.005,2.637805451990692,1.3069049105210433,1.3538164405893287,2.0,2.0,2.0968972879546763,2.0722092500597338,2.0476234075376607,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,8.0,4.0,4.816862177569648,4.218416605817658,4.195334463637426,599.0,176.99999956786633,373.9558250284888,272.7648730549172,273.48704781938005,32.0,11.999999910593033,55.71030102804749,21.21632923476173,17.633201206320702,60.0,30.999999850988388,106.78485721089986,60.466394380328325,59.19173301542983,46.0,15.999999910582627,24.479725754399343,25.015041413988648,21.29353847299686,21.0,17.999999940385393,34.1909927838818,29.05273569943195,22.98731885854922,61.0,27.999999954917726,48.066554175929205,38.85389361904544,39.10498321832006,13.0,2.0,2.136982624892315,2.0721821689058917,2.047623182499712,8.0,3.9999999701976776,14.113661913300426,7.096593142724603,5.840251656334679,58.0,16.99999986588955,111.47731654865409,31.057690970170157,25.37613177385737,2278.0,673.1324823516961,1616.0739139557907,1132.5938204509634,1068.5151961059862,621.0,225.99999931454659,512.1357148954733,355.6259453388489,335.95449850356886,653.0,337.9999989718199,952.5431011731278,545.3723737305156,504.6175119313603,2.0,2.0,2.1135497479437193,2.072210709594956,2.0953694300037493,443.0,35.999999821137926,95.72967144225045,56.50853307390763,47.221369705594455,2282.0,1115.9999973624945,3218.708888792106,1760.60685008766,1766.048995349843,604.0,321.999999165535,751.3397744447593,490.00000295042986,490.68293398836323,1300.0,483.728615094196,692.2138197056872,647.8718300475795,646.7153180004044
