,Albania,Andorra,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Estonia,Finland,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,Denmark,France,Netherlands,United Kingdom
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,2
2020-02-01,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,6,0,2
2020-02-02,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,6,0,2
2020-02-03,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,6,0,8
2020-02-04,0,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,6,0,8
2020-02-05,0,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,6,0,9
2020-02-06,0,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,6,0,9
2020-02-07,0,0,0,0,1,0,0,0,0,0,1,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,6,0,9
2020-02-08,0,0,0,0,1,0,0,0,0,0,1,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,11,0,13
2020-02-09,0,0,0,0,1,0,0,0,0,0,1,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,11,0,14
2020-02-10,0,0,0,0,1,0,0,0,0,0,1,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,11,0,14
2020-02-11,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,11,0,15
2020-02-12,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,11,0,16
2020-02-13,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,11,0,17
2020-02-14,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,11,0,18
2020-02-15,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,12,0,18
2020-02-16,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,12,0,18
2020-02-17,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,12,0,19
2020-02-18,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,12,0,19
2020-02-19,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,12,0,20
2020-02-20,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,12,0,22
2020-02-21,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,12,0,23
2020-02-22,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,12,0,23
2020-02-23,0,0,0,0,1,0,0,0,0,0,3,16,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,12,0,28
2020-02-24,0,0,0,0,1,0,0,0,0,0,3,16,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,12,0,30
2020-02-25,0,0,2,0,1,0,0,1,0,0,3,16,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,1,1,0,0,14,0,34
2020-02-26,0,0,2,0,1,0,0,3,0,0,4,21,1,0,0,0,453,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,13,2,1,0,0,18,0,37
2020-02-27,0,0,2,0,1,0,0,3,0,1,4,26,3,0,0,0,655,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,15,3,8,0,1,38,1,44
2020-02-28,0,0,2,1,1,0,0,5,0,1,5,53,4,0,1,0,888,0,0,0,0,0,0,0,0,0,1,6,0,0,3,2,0,0,0,0,32,11,8,0,1,57,6,56
2020-02-29,0,0,3,1,1,0,0,6,0,1,8,66,4,0,1,1,1128,0,0,0,0,1,0,0,1,0,1,15,0,0,3,2,1,0,0,0,45,14,18,0,3,100,10,61
2020-03-01,0,0,7,1,2,0,0,7,3,1,9,117,7,0,3,1,1694,0,0,0,0,1,0,0,1,0,1,19,0,0,3,2,1,0,0,0,84,14,27,0,4,130,18,94
2020-03-02,0,1,8,1,8,0,0,7,3,1,10,150,7,0,6,1,2036,0,1,0,0,1,0,0,1,0,1,25,0,2,3,3,1,0,0,0,120,19,42,0,4,191,24,134
2020-03-03,0,1,12,1,13,0,0,9,5,2,10,188,7,0,11,2,2502,0,1,0,0,1,0,0,1,0,1,32,0,2,3,3,9,0,0,0,165,32,56,1,6,212,38,189
2020-03-04,0,1,17,6,23,0,0,10,8,2,14,262,9,2,26,6,3089,0,1,1,0,1,0,0,1,0,1,56,1,5,4,3,9,0,0,0,222,62,90,1,10,285,82,246
2020-03-05,0,1,23,6,50,2,0,10,12,3,20,400,31,2,34,6,3858,0,1,1,0,1,0,0,1,0,1,87,1,8,6,4,16,0,0,2,259,87,114,1,10,423,128,295
2020-03-06,0,1,37,6,109,2,0,11,18,10,21,639,45,2,43,18,4636,0,1,1,0,2,0,0,1,0,3,108,5,13,9,13,22,1,1,7,400,146,214,1,23,613,188,374
2020-03-07,0,1,46,6,169,3,0,12,19,10,28,795,46,4,50,18,5883,0,1,1,0,2,3,0,1,0,3,147,5,20,9,13,24,1,1,7,500,179,268,1,23,938,265,429
2020-03-08,0,1,75,6,200,3,4,12,31,10,35,902,73,7,50,19,7375,0,2,1,0,3,3,1,1,0,3,176,11,30,15,17,27,1,3,16,673,225,337,1,35,1115,321,483
2020-03-09,2,1,98,6,239,3,4,12,31,10,44,1139,73,9,58,21,9172,0,6,1,0,3,3,1,1,0,3,205,16,30,15,17,37,1,5,16,1073,326,374,1,90,1401,382,630
2020-03-10,10,1,126,9,267,5,4,14,41,12,61,1296,89,9,69,34,10149,0,8,1,0,5,5,3,1,0,7,400,22,41,25,20,49,5,7,31,1695,424,491,1,262,1773,503,888
2020-03-11,12,1,148,9,314,7,7,19,91,16,115,1567,99,13,85,43,12462,0,10,3,0,7,6,3,1,0,7,598,31,59,45,20,60,12,7,57,2277,620,652,1,442,2281,603,1299
2020-03-12,23,1,203,12,314,11,7,19,94,16,191,2369,99,13,103,43,15113,0,10,4,0,19,6,3,2,0,7,702,49,59,49,28,60,19,10,89,2277,771,652,1,615,2281,804,1788
2020-03-13,33,1,312,27,559,13,23,32,141,79,251,3062,190,19,134,90,17660,0,17,5,0,34,12,6,2,0,14,996,68,112,89,45,64,35,21,141,5232,923,1139,3,801,3661,959,2267
2020-03-14,38,1,409,27,689,18,41,38,189,115,279,3795,228,30,156,129,21157,2,26,7,0,51,18,12,2,0,14,1090,103,169,123,59,77,46,32,181,6391,994,1359,3,827,4469,1135,2631
2020-03-15,42,1,591,27,886,24,51,49,253,171,308,4838,331,32,171,129,24747,5,30,11,0,59,21,23,2,0,14,1221,119,245,131,63,77,48,44,219,7798,1063,2200,3,864,4499,1413,3073
2020-03-16,51,2,801,36,1058,25,52,57,298,205,361,6012,331,39,180,169,27980,13,34,14,0,77,30,23,7,0,18,1333,177,331,158,90,77,55,61,253,9942,1146,2200,7,914,6633,1705,3685
2020-03-17,55,39,999,36,1243,26,67,65,396,225,413,7156,387,50,220,223,31506,16,49,19,0,140,38,30,7,2,26,1463,238,448,184,114,102,65,72,275,11748,1265,2700,14,977,7652,2051,4455
2020-03-18,59,39,1225,51,1486,38,92,81,464,258,460,8198,418,58,250,292,35713,19,71,25,0,203,38,30,7,2,35,1550,251,448,260,147,104,83,96,275,13910,1410,3028,14,1057,9043,2460,5459
2020-03-19,64,53,1571,51,1795,63,94,105,694,267,550,10999,418,73,330,557,41035,20,86,34,1,335,53,49,7,3,48,1746,355,785,277,199,109,103,104,286,17963,1553,4075,16,1151,10871,2994,6516
2020-03-20,70,75,1943,69,2257,89,127,128,833,283,649,13957,495,85,409,683,47021,21,111,36,1,484,64,66,11,14,67,1914,425,1020,308,253,126,135,123,341,20410,1733,5294,29,1255,12612,3631,7771
2020-03-21,76,88,2398,76,2815,93,163,206,995,306,736,16662,530,103,473,785,53578,24,124,44,7,670,73,80,11,14,85,2118,536,1280,367,306,151,171,137,383,25374,1868,6575,47,1326,14282,4204,8968
2020-03-22,89,113,2909,76,3401,126,187,254,1120,326,823,18610,624,131,568,906,59138,31,139,46,44,798,90,94,23,21,115,2385,634,1600,433,367,175,222,178,414,28768,1986,7474,73,1395,16533,4749,10388
2020-03-23,104,133,3455,81,3743,136,201,315,1236,352,901,22672,695,167,588,1125,63927,33,180,48,58,875,107,109,23,27,136,2621,749,2060,576,438,187,249,185,442,35136,2168,8795,73,1450,19856,5560,12735
2020-03-24,123,164,4073,81,4269,166,218,382,1394,369,985,27436,743,187,648,1329,69176,61,197,51,88,1099,110,125,23,47,148,2863,901,2362,794,495,187,303,204,480,39885,2398,9877,97,1591,22054,6412,15126
2020-03-25,146,188,4760,86,4937,176,242,442,1654,404,1084,31554,835,226,737,1564,74386,63,221,53,112,1333,129,149,31,52,177,3084,1051,2995,906,658,208,384,216,528,49515,2712,10897,145,1724,24967,7431,17831
2020-03-26,174,224,5483,86,6235,191,264,495,1925,538,1188,36508,835,261,802,1819,80589,71,244,57,167,1453,134,177,33,69,201,3369,1221,3544,1029,840,218,384,226,562,57786,2998,11811,196,1877,28856,8603,20930
2020-03-27,186,267,6237,94,7284,237,293,586,2279,575,1301,42288,835,300,890,2121,86498,86,280,61,183,1605,139,199,42,82,219,3755,1389,4268,1292,1036,223,457,269,632,65719,3363,12928,310,2046,32609,9762,24173
2020-03-28,197,308,7293,94,9134,258,331,657,2631,645,1396,48582,835,343,963,2415,92472,88,305,62,227,1831,149,231,42,84,241,4015,1638,5170,1452,1264,228,659,292,684,73235,3663,14076,356,2201,37162,10866,27017
2020-03-29,212,334,8100,94,10836,323,346,713,2817,679,1473,52547,1156,408,1020,2615,97689,91,347,63,263,1950,151,263,46,85,259,4284,1862,5962,1815,1534,228,741,314,730,80110,3943,14829,475,2395,39761,11750,29906
2020-03-30,223,370,8717,152,11899,368,359,790,3001,715,1543,57298,1156,447,1086,2910,101739,94,376,65,280,1988,156,298,49,91,285,4445,2055,6408,2109,1836,230,785,336,756,87956,4359,15922,548,2577,44029,12595,34198
2020-03-31,243,376,9264,152,12775,420,399,867,3308,745,1672,61913,1156,492,1135,3235,105792,106,398,69,353,2178,169,353,52,109,329,4641,2311,7443,2245,2337,236,900,363,802,95923,4834,16605,645,2860,51579,13614,38727
2020-04-01,259,390,9937,163,13964,459,422,963,3508,779,1797,67366,1156,525,1220,3447,110574,112,446,73,397,2319,188,423,55,123,354,4863,2554,8251,2460,2777,236,1060,400,841,104118,5320,17768,794,3107,56362,14697,43685
2020-04-02,277,428,10486,304,15348,533,457,1011,3858,858,1946,73522,1156,585,1319,3849,115242,125,458,76,470,2487,196,505,60,144,384,5147,2946,9034,2738,3548,236,1171,426,897,112065,5874,18827,897,3386,58404,15723,48615
2020-04-03,304,439,11035,351,16770,579,485,1079,4091,961,2107,79696,1613,623,1364,4273,119827,126,493,78,528,2612,202,591,64,174,430,5370,3383,9886,3183,4149,245,1476,450,934,119199,6475,19606,1072,3757,63588,16627,53565
2020-04-04,333,466,11473,440,18431,624,503,1126,4472,1039,2306,85778,1673,678,1417,4604,124632,135,509,78,571,2729,213,752,66,201,483,5550,3627,10524,3613,4731,252,1624,471,977,126168,6832,20505,1225,4077,63588,17851,57651
2020-04-05,361,501,11884,562,19691,654,531,1182,4587,1097,2387,91714,1735,733,1486,4994,128948,140,533,78,617,2804,227,864,73,214,555,5687,4102,11278,3864,5389,259,1908,485,997,131646,7172,21100,1308,4369,63588,18803,61268
